Task,Status,Date(created),Date(done)  
Sending invitation letter to Shima (maybe through Samaneh),?,21.07.2023,ASAP
Washing roo baleshi,done!,21.07.2023,23.07.2023
Vaghte doctor e poost,?,21.07.2023,ASAP
Finishing the book angel's game,finished,21.07.2023,26.07.2023
Chaspoondan e leise ha,?,21.07.2023,ASAP
Tamoom kardan range rahroo,?,21.07.2023,ASAP
Kharidan the shadows of the wind az Carlos Ruiz Zafon,done!,21.07.2023,26.07.2023
Bilit e Safe House,?,21.07.2023,ASAP
Bilit e Safar be Espania,done!,22.07.2023,22.07.2023
Ejare e khune dar Malaga,?,23.07.2023,ASAP
Tamir e mobile Motorla Ghadimi,done!,24.07.2023,26.07.2023
Tamir e mobile Motorla Jadid,?,24.07.2023,ASAP
Tamir e safhe kelaje mashin,?,24.07.2023,ASAP
Spanish language course?,?,24.07.2023,ASAP
Tamoom kardan e dastanam do hafte,?,24.07.2023,ASAP
Paperi ke ba kanadaie darim anjam midim,?,24.07.2023,ASAP
Kharjhaye Khune baraye 2023,?,26.07.2023,ASAP
passport e irani,?,29.07.2023,ASAP
